XP,YP,ZP,PTN,PVALUE,LSTYLE,SYMBOL,COLOUR
667033.539,7905357.176,709.229,37,2,1001,201,58
666977.748,7905439.197,715,38,2,1001,201,58
666765.784,7905706.261,715,39,2,1001,201,58
666777.25433333,7905636.41333333,720,40,2,1001,201,58
666800.195,7905496.718,730,41,2,1001,201,58
666830.57506434,7905442.92499057,735,42,2,1001,201,58
666911.623,7905299.416,748.339,43,2,1001,201,58
666930.95647579,7905291.98698022,750,44,2,1001,201,58
667105.55138054,7905224.8976986,765,45,2,1001,201,58
667165.193,7905201.98,770.124,46,2,1001,201,58
667040.31693615,7905198.13653447,780,47,2,1001,201,58
667011.513,7905197.25,782.278,48,2,1001,201,58
666867.38174725,7905267.92745072,795,49,2,1001,201,58
666766.687,7905317.305,803.888,50,2,1001,201,58
666706.20050546,7905360.84465442,810,51,2,1001,201,58
666607.237,7905432.081,820,52,2,1001,201,58
666692.966,7905312.157,820,53,2,1001,201,58
666752.844,7905206.89,820,54,2,1001,201,58
666799.506,7905124.856,820,55,2,1001,201,58
666900.567,7904909.844,820,56,2,1001,201,58
666936.936,7904690.587,820,57,2,1001,201,58
667003.196,7904566.024,820,58,2,1001,201,58
667108.901,7904520.354,820,59,2,1001,201,58
667278.378,7904507.462,820,60,2,1001,201,58
667194.76795569,7904495.06502806,825,61,2,1001,201,58
667051.962,7904473.891,833.54,62,2,1001,201,58
666987.59787242,7904510.82249818,840,63,2,1001,201,58
666887.963,7904567.992,850,64,2,1001,201,58
666862.85925,7904611.22133333,855,65,2,1001,201,58
666878.29090672,7904588.03377899,855,66,2,1001,201,58
666826.48214087,7904659.47511706,855,67,2,1001,201,58
666867.79923432,7904722.51051898,855,68,2,1001,201,58
666937.00576851,7904793.25035255,855,69,2,1001,201,58
